from,to,val
friedo,keiosu,1
friedo,OvidPerl,1
friedo,timbunce,1
friedo,allisonrandal,1
friedo,missbarbell,1
friedo,kraih,1
friedo,frioux,1
friedo,chromatic_x,1
friedo,leon_timmermans,1
friedo,xdg,1
friedo,szabgab,1
friedo,CSJewellPerl,1
friedo,Yakpi,1
friedo,rabcyr,1
friedo,olafalders,1
friedo,gizmomathboy,1
friedo,shadowcat_mdk,1
friedo,perlfoundation,1
friedo,vmbrasseur,1
friedo,TimToady,1
friedo,brian_d_foy,1
friedo,briandfoy_perl,1
friedo,novapatch,1
friedo,pghpw,1
friedo,dotandimet,1
friedo,houseabsolute,1
friedo,sfperlmongers,1
friedo,SVPerl,1
friedo,mjdominus,1
friedo,tommystanton,1
friedo,metacpan,1
friedo,perlironman,1
friedo,Ptolemarch,1
friedo,YAPCNA,1
friedo,yapceu,1
friedo,joelaberger,1
friedo,stevanlittle,1
friedo,PerlSawyer,1
friedo,iinteractive,1
friedo,PerlTricks,1
friedo,ThePerlShop,1
friedo,PerlDaily,1
friedo,BuiltinPerl,1
friedo,PerlRegex,1
friedo,rperlcompiler,1
theory,davorg,1
theory,petdance,1
theory,miyagawa,1
theory,genehack,1
theory,ingydotnet,1
theory,perigrin,1
theory,gnat,1
theory,AndyArmstrong,1
theory,sartak,1
theory,schwern,1
theory,pjf,1
theory,pdcawley,1
theory,perlbuzz,1
theory,thaljef,1
theory,keiosu,1
theory,OvidPerl,1
theory,timbunce,1
theory,allisonrandal,1
theory,missbarbell,1
theory,sheeshee,1
theory,kraih,1
theory,frioux,1
theory,chromatic_x,1
theory,xdg,1
theory,szabgab,1
theory,olafalders,1
theory,shadowcat_mdk,1
theory,perlfoundation,1
theory,vmbrasseur,1
theory,TimToady,1
theory,briandfoy_perl,1
theory,shadowcat_mst,1
theory,houseabsolute,1
theory,ribasushi,1
theory,mjdominus,1
theory,metacpan,1
theory,stevanlittle,1
theory,PerlSawyer,1
theory,SlackHQ,1
theory,PerlDaily,1
miyagawa,davorg,1
miyagawa,petdance,1
miyagawa,merlyn,1
miyagawa,theory,1
miyagawa,genehack,1
miyagawa,ingydotnet,1
miyagawa,perigrin,1
miyagawa,trg404,1
miyagawa,gnat,1
miyagawa,AndyArmstrong,1
miyagawa,perl_api,1
miyagawa,scrottie,1
miyagawa,sartak,1
miyagawa,schwern,1
miyagawa,pjf,1
miyagawa,sungo,1
miyagawa,pdcawley,1
miyagawa,aaroncrane,1
miyagawa,perlbuzz,1
miyagawa,thaljef,1
miyagawa,keiosu,1
miyagawa,OvidPerl,1
miyagawa,timbunce,1
miyagawa,allisonrandal,1
miyagawa,missbarbell,1
miyagawa,kraih,1
miyagawa,leon_timmermans,1
miyagawa,xdg,1
miyagawa,szabgab,1
miyagawa,olafalders,1
miyagawa,shadowcat_mdk,1
miyagawa,perlfoundation,1
miyagawa,vmbrasseur,1
miyagawa,TimToady,1
miyagawa,briandfoy_perl,1
miyagawa,pghpw,1
miyagawa,shadowcat_mst,1
miyagawa,houseabsolute,1
miyagawa,sfperlmongers,1
miyagawa,mjdominus,1
miyagawa,neilbowers,1
miyagawa,metacpan,1
miyagawa,YAPCNA,1
miyagawa,PerlWeekly,1
miyagawa,yapceu,1
miyagawa,stevanlittle,1
miyagawa,PerlSawyer,1
miyagawa,SlackHQ,1
genehack,theory,1
genehack,miyagawa,1
genehack,ingydotnet,1
genehack,perigrin,1
genehack,trg404,1
genehack,gnat,1
genehack,AndyArmstrong,1
genehack,perl_api,1
genehack,scrottie,1
genehack,danlyke,1
genehack,sartak,1
genehack,pjf,1
genehack,sungo,1
genehack,brianwisti,1
genehack,fedward,1
genehack,aaroncrane,1
genehack,perlbuzz,1
genehack,thaljef,1
genehack,sweth,1
genehack,keiosu,1
genehack,OvidPerl,1
genehack,timbunce,1
genehack,missbarbell,1
genehack,sheeshee,1
genehack,rsrchboy,1
genehack,kraih,1
genehack,chromatic_x,1
genehack,leon_timmermans,1
genehack,xdg,1
genehack,szabgab,1
genehack,kiphampton,1
genehack,preaction,1
genehack,perljobs,1
genehack,rabcyr,1
genehack,olafalders,1
genehack,gizmomathboy,1
genehack,shadowcat_mdk,1
genehack,perlfoundation,1
genehack,vmbrasseur,1
genehack,TimToady,1
genehack,EccentricFlower,1
genehack,novapatch,1
genehack,pghpw,1
genehack,houseabsolute,1
genehack,sfperlmongers,1
genehack,ribasushi,1
genehack,mjdominus,1
genehack,neilbowers,1
genehack,metacpan,1
genehack,culturedperl,1
genehack,Ptolemarch,1
genehack,YAPCNA,1
genehack,yapceu,1
genehack,stevanlittle,1
genehack,shadow_dot_cat,1
genehack,PerlSawyer,1
genehack,iinteractive,1
genehack,SlackHQ,1
genehack,BuiltinPerl,1
genehack,pdxperlmongers,1
genehack,cpantesters,1
genehack,perl_mongers,1
ingydotnet,miyagawa,1
ingydotnet,perigrin,1
ingydotnet,AndyArmstrong,1
ingydotnet,schwern,1
ingydotnet,pjf,1
ingydotnet,pdcawley,1
ingydotnet,OvidPerl,1
ingydotnet,allisonrandal,1
ingydotnet,xdg,1
ingydotnet,szabgab,1
ingydotnet,TimToady,1
ingydotnet,shadowcat_mst,1
ingydotnet,metacpan,1
ingydotnet,stevanlittle,1
ingydotnet,PerlSawyer,1
perigrin,davorg,1
perigrin,petdance,1
perigrin,friedo,1
perigrin,theory,1
perigrin,miyagawa,1
perigrin,genehack,1
perigrin,ingydotnet,1
perigrin,trg404,1
perigrin,gnat,1
perigrin,AndyArmstrong,1
perigrin,perl_api,1
perigrin,scrottie,1
perigrin,spazm,1
perigrin,sartak,1
perigrin,schwern,1
perigrin,pjf,1
perigrin,sungo,1
perigrin,pdcawley,1
perigrin,brianwisti,1
perigrin,aaroncrane,1
perigrin,perlbuzz,1
perigrin,thaljef,1
perigrin,keiosu,1
perigrin,OvidPerl,1
perigrin,timbunce,1
perigrin,allisonrandal,1
perigrin,missbarbell,1
perigrin,sheeshee,1
perigrin,rsrchboy,1
perigrin,frioux,1
perigrin,chromatic_x,1
perigrin,Reini_Urban,1
perigrin,perlcritic,1
perigrin,leon_timmermans,1
perigrin,xdg,1
perigrin,kiphampton,1
perigrin,preaction,1
perigrin,CSJewellPerl,1
perigrin,rabcyr,1
perigrin,olafalders,1
perigrin,dbix_class,1
perigrin,gizmomathboy,1
perigrin,shadowcat_mdk,1
perigrin,perlfoundation,1
perigrin,vmbrasseur,1
perigrin,TimToady,1
perigrin,brian_d_foy,1
perigrin,briandfoy_perl,1
perigrin,EccentricFlower,1
perigrin,novapatch,1
perigrin,pghpw,1
perigrin,shadowcat_mst,1
perigrin,dotandimet,1
perigrin,houseabsolute,1
perigrin,sfperlmongers,1
perigrin,ribasushi,1
perigrin,SVPerl,1
perigrin,mjdominus,1
perigrin,neilbowers,1
perigrin,tommystanton,1
perigrin,metacpan,1
perigrin,perlironman,1
perigrin,culturedperl,1
perigrin,Ptolemarch,1
perigrin,YAPCNA,1
perigrin,PerlWeekly,1
perigrin,yapceu,1
perigrin,joelaberger,1
perigrin,stevanlittle,1
perigrin,markjgardner,1
perigrin,PerlSawyer,1
perigrin,iinteractive,1
perigrin,SlackHQ,1
perigrin,pwb712,1
perigrin,ThePerlShop,1
perigrin,BuiltinPerl,1
perigrin,cpantesters,1
perigrin,Perligata,1
trg404,theory,1
trg404,miyagawa,1
trg404,genehack,1
trg404,perigrin,1
trg404,sartak,1
trg404,pjf,1
trg404,sungo,1
trg404,pdcawley,1
trg404,brianwisti,1
trg404,OvidPerl,1
trg404,chromatic_x,1
trg404,Reini_Urban,1
trg404,xdg,1
trg404,kiphampton,1
trg404,rabcyr,1
trg404,gizmomathboy,1
trg404,shadowcat_mdk,1
trg404,perlfoundation,1
trg404,vmbrasseur,1
trg404,briandfoy_perl,1
trg404,pghpw,1
trg404,shadowcat_mst,1
trg404,mjdominus,1
trg404,Ptolemarch,1
trg404,YAPCNA,1
trg404,stevanlittle,1
trg404,PerlSawyer,1
trg404,perl_mongers,1
gnat,davorg,1
gnat,petdance,1
gnat,theory,1
gnat,miyagawa,1
gnat,schwern,1
gnat,pjf,1
gnat,OvidPerl,1
gnat,timbunce,1
gnat,allisonrandal,1
gnat,chromatic_x,1
gnat,pudgenet,1
gnat,vmbrasseur,1
gnat,TimToady,1
gnat,mjdominus,1
gnat,tommystanton,1
AndyArmstrong,davorg,1
AndyArmstrong,petdance,1
AndyArmstrong,theory,1
AndyArmstrong,miyagawa,1
AndyArmstrong,ingydotnet,1
AndyArmstrong,perigrin,1
AndyArmstrong,scrottie,1
AndyArmstrong,schwern,1
AndyArmstrong,pjf,1
AndyArmstrong,pdcawley,1
AndyArmstrong,aaroncrane,1
AndyArmstrong,keiosu,1
AndyArmstrong,OvidPerl,1
AndyArmstrong,missbarbell,1
AndyArmstrong,Reini_Urban,1
AndyArmstrong,leon_timmermans,1
AndyArmstrong,xdg,1
AndyArmstrong,shadowcat_mdk,1
AndyArmstrong,shadowcat_mst,1
AndyArmstrong,mjdominus,1
AndyArmstrong,tommystanton,1
AndyArmstrong,metacpan,1
AndyArmstrong,shadow_dot_cat,1
AndyArmstrong,markjgardner,1
john_bokma,davorg,1
john_bokma,petdance,1
john_bokma,friedo,1
john_bokma,theory,1
john_bokma,miyagawa,1
john_bokma,genehack,1
john_bokma,ingydotnet,1
john_bokma,perigrin,1
john_bokma,trg404,1
john_bokma,gnat,1
john_bokma,AndyArmstrong,1
john_bokma,perl_api,1
john_bokma,scrottie,1
john_bokma,spazm,1
john_bokma,sartak,1
john_bokma,pjf,1
john_bokma,sungo,1
john_bokma,pdcawley,1
john_bokma,brianwisti,1
john_bokma,aaroncrane,1
john_bokma,perlbuzz,1
john_bokma,thaljef,1
john_bokma,keiosu,1
john_bokma,OvidPerl,1
john_bokma,timbunce,1
john_bokma,allisonrandal,1
john_bokma,missbarbell,1
john_bokma,sheeshee,1
john_bokma,rsrchboy,1
john_bokma,kraih,1
john_bokma,frioux,1
john_bokma,chromatic_x,1
john_bokma,sinan_unur,1
john_bokma,Reini_Urban,1
john_bokma,perlbpbook,1
john_bokma,perlcritic,1
john_bokma,leon_timmermans,1
john_bokma,xdg,1
john_bokma,szabgab,1
john_bokma,kiphampton,1
john_bokma,pudgenet,1
john_bokma,preaction,1
john_bokma,CSJewellPerl,1
john_bokma,Yakpi,1
john_bokma,rabcyr,1
john_bokma,olafalders,1
john_bokma,dbix_class,1
john_bokma,gizmomathboy,1
john_bokma,shadowcat_mdk,1
john_bokma,perlfoundation,1
john_bokma,vmbrasseur,1
john_bokma,TimToady,1
john_bokma,BostonPM,1
john_bokma,brian_d_foy,1
john_bokma,briandfoy_perl,1
john_bokma,RegexTip,1
john_bokma,novapatch,1
john_bokma,PlanetPerl,1
john_bokma,shadowcat_mst,1
john_bokma,dotandimet,1
john_bokma,houseabsolute,1
john_bokma,sfperlmongers,1
john_bokma,PurduePM,1
john_bokma,ribasushi,1
john_bokma,SVPerl,1
john_bokma,PerlDancer,1
john_bokma,mjdominus,1
john_bokma,neilbowers,1
john_bokma,tommystanton,1
john_bokma,metacpan,1
john_bokma,perlironman,1
john_bokma,culturedperl,1
john_bokma,Ptolemarch,1
john_bokma,PerlWeekly,1
john_bokma,yapceu,1
john_bokma,joelaberger,1
john_bokma,stevanlittle,1
john_bokma,shadow_dot_cat,1
john_bokma,markjgardner,1
john_bokma,PerlRick,1
john_bokma,PerlSawyer,1
john_bokma,vikin91,1
john_bokma,iinteractive,1
john_bokma,PerlTricks,1
john_bokma,pwb712,1
john_bokma,ThePerlShop,1
john_bokma,BuiltinPerl,1
john_bokma,cpantesters,1
john_bokma,perl__dp,1
john_bokma,rperlcompiler,1
john_bokma,jonwarreninfo,1
john_bokma,RepOfCoders,1
perl_api,merlyn,1
perl_api,miyagawa,1
perl_api,perigrin,1
perl_api,olafalders,1
perl_api,brian_d_foy,1
perl_api,YAPCNA,1
pkrumins,petdance,1
pkrumins,timbunce,1
pkrumins,TimToady,1
pkrumins,briandfoy_perl,1
pkrumins,shadowcat_mst,1
pkrumins,mjdominus,1
pkrumins,PerlTricks,1
scrottie,ingydotnet,1
scrottie,schwern,1
scrottie,perlbuzz,1
scrottie,chromatic_x,1
scrottie,Reini_Urban,1
scrottie,leon_timmermans,1
scrottie,briandfoy_perl,1
scrottie,pghpw,1
scrottie,shadowcat_mst,1
scrottie,houseabsolute,1
scrottie,ribasushi,1
scrottie,SVPerl,1
scrottie,mjdominus,1
scrottie,YAPCNA,1
scrottie,PerlWeekly,1
scrottie,stevanlittle,1
scrottie,PerlSawyer,1
scrottie,PerlRapidApp,1
spazm,petdance,1
spazm,merlyn,1
spazm,genehack,1
spazm,ingydotnet,1
spazm,perigrin,1
spazm,perlbuzz,1
spazm,OvidPerl,1
spazm,kraih,1
spazm,frioux,1
spazm,chromatic_x,1
spazm,perlcritic,1
spazm,xdg,1
spazm,vmbrasseur,1
spazm,TimToady,1
spazm,briandfoy_perl,1
spazm,shadowcat_mst,1
spazm,ribasushi,1
spazm,mjdominus,1
spazm,tommystanton,1
spazm,perlironman,1
spazm,YAPCNA,1
spazm,PerlWeekly,1
spazm,PerlSawyer,1
spazm,BuiltinPerl,1
danlyke,genehack,1
danlyke,pjf,1
danlyke,sungo,1
danlyke,EccentricFlower,1
danlyke,pwb712,1
sartak,miyagawa,1
sartak,genehack,1
sartak,perigrin,1
sartak,keiosu,1
sartak,gizmomathboy,1
sartak,novapatch,1
sartak,mjdominus,1
sartak,stevanlittle,1
sartak,PerlSawyer,1
schwern,davorg,1
schwern,petdance,1
schwern,theory,1
schwern,miyagawa,1
schwern,ingydotnet,1
schwern,gnat,1
schwern,AndyArmstrong,1
schwern,scrottie,1
schwern,pjf,1
schwern,pdcawley,1
schwern,perlbuzz,1
schwern,keiosu,1
schwern,OvidPerl,1
schwern,timbunce,1
schwern,allisonrandal,1
schwern,chromatic_x,1
schwern,xdg,1
schwern,szabgab,1
schwern,vmbrasseur,1
schwern,TimToady,1
schwern,mjdominus,1
schwern,YAPCNA,1
twiki,merlyn,1
twiki,friedo,1
twiki,brianwisti,1
twiki,perlbuzz,1
twiki,chromatic_x,1
twiki,szabgab,1
twiki,perlfoundation,1
twiki,sfperlmongers,1
twiki,SVPerl,1
twiki,PerlWeekly,1
twiki,stevanlittle,1
twiki,BuiltinPerl,1
pjf,davorg,1
pjf,petdance,1
pjf,merlyn,1
pjf,theory,1
pjf,miyagawa,1
pjf,genehack,1
pjf,ingydotnet,1
pjf,perigrin,1
pjf,trg404,1
pjf,gnat,1
pjf,AndyArmstrong,1
pjf,perl_api,1
pjf,scrottie,1
pjf,danlyke,1
pjf,sartak,1
pjf,schwern,1
pjf,sungo,1
pjf,pdcawley,1
pjf,brianwisti,1
pjf,aaroncrane,1
pjf,perlbuzz,1
pjf,keiosu,1
pjf,OvidPerl,1
pjf,timbunce,1
pjf,allisonrandal,1
pjf,missbarbell,1
pjf,kraih,1
pjf,chromatic_x,1
pjf,perlcritic,1
pjf,xdg,1
pjf,szabgab,1
pjf,CSJewellPerl,1
pjf,dbix_class,1
pjf,gizmomathboy,1
pjf,perlfoundation,1
pjf,vmbrasseur,1
pjf,TimToady,1
pjf,briandfoy_perl,1
pjf,novapatch,1
pjf,shadowcat_mst,1
pjf,houseabsolute,1
pjf,sfperlmongers,1
pjf,ribasushi,1
pjf,PerlDancer,1
pjf,mjdominus,1
pjf,neilbowers,1
pjf,metacpan,1
pjf,perlironman,1
pjf,culturedperl,1
pjf,YAPCNA,1
pjf,PerlWeekly,1
pjf,yapceu,1
pjf,joelaberger,1
pjf,stevanlittle,1
pjf,PerlSawyer,1
pjf,iinteractive,1
pjf,PerlDaily,1
pjf,BuiltinPerl,1
sungo,genehack,1
sungo,perigrin,1
sungo,trg404,1
sungo,brianwisti,1
sungo,keiosu,1
sungo,vmbrasseur,1
sungo,shadowcat_mst,1
sungo,stevanlittle,1
pdcawley,davorg,1
pdcawley,petdance,1
pdcawley,merlyn,1
pdcawley,theory,1
pdcawley,miyagawa,1
pdcawley,genehack,1
pdcawley,ingydotnet,1
pdcawley,perigrin,1
pdcawley,gnat,1
pdcawley,AndyArmstrong,1
pdcawley,sartak,1
pdcawley,schwern,1
pdcawley,pjf,1
pdcawley,sungo,1
pdcawley,brianwisti,1
pdcawley,aaroncrane,1
pdcawley,perlbuzz,1
pdcawley,keiosu,1
pdcawley,OvidPerl,1
pdcawley,timbunce,1
pdcawley,allisonrandal,1
pdcawley,missbarbell,1
pdcawley,chromatic_x,1
pdcawley,xdg,1
pdcawley,szabgab,1
pdcawley,shadowcat_mdk,1
pdcawley,vmbrasseur,1
pdcawley,TimToady,1
pdcawley,briandfoy_perl,1
pdcawley,novapatch,1
pdcawley,shadowcat_mst,1
pdcawley,houseabsolute,1
pdcawley,mjdominus,1
pdcawley,tommystanton,1
pdcawley,metacpan,1
pdcawley,stevanlittle,1
brianwisti,davorg,1
brianwisti,petdance,1
brianwisti,merlyn,1
brianwisti,friedo,1
brianwisti,theory,1
brianwisti,miyagawa,1
brianwisti,genehack,1
brianwisti,ingydotnet,1
brianwisti,perigrin,1
brianwisti,trg404,1
brianwisti,gnat,1
brianwisti,sartak,1
brianwisti,twiki,1
brianwisti,pjf,1
brianwisti,sungo,1
brianwisti,pdcawley,1
brianwisti,aaroncrane,1
brianwisti,perlbuzz,1
brianwisti,sweth,1
brianwisti,keiosu,1
brianwisti,OvidPerl,1
brianwisti,timbunce,1
brianwisti,allisonrandal,1
brianwisti,sheeshee,1
brianwisti,kraih,1
brianwisti,frioux,1
brianwisti,chromatic_x,1
brianwisti,perlhack,1
brianwisti,leon_timmermans,1
brianwisti,xdg,1
brianwisti,szabgab,1
brianwisti,kiphampton,1
brianwisti,rabcyr,1
brianwisti,gizmomathboy,1
brianwisti,shadowcat_mdk,1
brianwisti,perlfoundation,1
brianwisti,vmbrasseur,1
brianwisti,TimToady,1
brianwisti,EccentricFlower,1
brianwisti,novapatch,1
brianwisti,shadowcat_mst,1
brianwisti,dotandimet,1
brianwisti,houseabsolute,1
brianwisti,ribasushi,1
brianwisti,mjdominus,1
brianwisti,neilbowers,1
brianwisti,metacpan,1
brianwisti,culturedperl,1
brianwisti,Ptolemarch,1
brianwisti,PerlWeekly,1
brianwisti,yapceu,1
brianwisti,joelaberger,1
brianwisti,stevanlittle,1
brianwisti,markjgardner,1
brianwisti,loltimo,1
brianwisti,PerlSawyer,1
brianwisti,iinteractive,1
brianwisti,PerlTricks,1
brianwisti,SlackHQ,1
brianwisti,pwb712,1
brianwisti,BuiltinPerl,1
brianwisti,rperlcompiler,1
brianwisti,RepOfCoders,1
fedward,genehack,1
fedward,sungo,1
fedward,TimToady,1
fedward,mjdominus,1
aaroncrane,davorg,1
aaroncrane,petdance,1
aaroncrane,friedo,1
aaroncrane,theory,1
aaroncrane,miyagawa,1
aaroncrane,genehack,1
aaroncrane,ingydotnet,1
aaroncrane,perigrin,1
aaroncrane,trg404,1
aaroncrane,gnat,1
aaroncrane,AndyArmstrong,1
aaroncrane,john_bokma,1
aaroncrane,spazm,1
aaroncrane,sartak,1
aaroncrane,schwern,1
aaroncrane,pjf,1
aaroncrane,sungo,1
aaroncrane,pdcawley,1
aaroncrane,brianwisti,1
aaroncrane,perlbuzz,1
aaroncrane,thaljef,1
aaroncrane,sweth,1
aaroncrane,mnlagrasta,1
aaroncrane,keiosu,1
aaroncrane,OvidPerl,1
aaroncrane,timbunce,1
aaroncrane,allisonrandal,1
aaroncrane,missbarbell,1
aaroncrane,sheeshee,1
aaroncrane,rsrchboy,1
aaroncrane,kraih,1
aaroncrane,frioux,1
aaroncrane,chromatic_x,1
aaroncrane,sinan_unur,1
aaroncrane,Reini_Urban,1
aaroncrane,leon_timmermans,1
aaroncrane,xdg,1
aaroncrane,szabgab,1
aaroncrane,kiphampton,1
aaroncrane,preaction,1
aaroncrane,CSJewellPerl,1
aaroncrane,rabcyr,1
aaroncrane,olafalders,1
aaroncrane,dbix_class,1
aaroncrane,gizmomathboy,1
aaroncrane,shadowcat_mdk,1
aaroncrane,celogeek,1
aaroncrane,perlfoundation,1
aaroncrane,vmbrasseur,1
aaroncrane,TimToady,1
aaroncrane,brian_d_foy,1
aaroncrane,briandfoy_perl,1
aaroncrane,novapatch,1
aaroncrane,pghpw,1
aaroncrane,shadowcat_mst,1
aaroncrane,dotandimet,1
aaroncrane,houseabsolute,1
aaroncrane,ribasushi,1
aaroncrane,mjdominus,1
aaroncrane,neilbowers,1
aaroncrane,tommystanton,1
aaroncrane,metacpan,1
aaroncrane,perlironman,1
aaroncrane,culturedperl,1
aaroncrane,Ptolemarch,1
aaroncrane,YAPCNA,1
aaroncrane,PerlWeekly,1
aaroncrane,yapceu,1
aaroncrane,joelaberger,1
aaroncrane,stevanlittle,1
aaroncrane,markjgardner,1
aaroncrane,loltimo,1
aaroncrane,PerlRick,1
aaroncrane,PerlSawyer,1
aaroncrane,iinteractive,1
aaroncrane,PerlTricks,1
aaroncrane,pwb712,1
aaroncrane,PerlDaily,1
aaroncrane,BuiltinPerl,1
aaroncrane,cpantesters,1
aaroncrane,perl_mongers,1
aaroncrane,RepOfCoders,1
perlbuzz,theory,1
perlbuzz,miyagawa,1
perlbuzz,schwern,1
perlbuzz,OvidPerl,1
perlbuzz,timbunce,1
perlbuzz,missbarbell,1
perlbuzz,chromatic_x,1
perlbuzz,szabgab,1
perlbuzz,CSJewellPerl,1
perlbuzz,perlfoundation,1
perlbuzz,TimToady,1
perlbuzz,mjdominus,1
perlbuzz,stevanlittle,1
perlbuzz,BuiltinPerl,1
thaljef,perlcritic,1
thaljef,PerlTricks,1
sweth,TimToady,1
sweth,yapceu,1
sweth,iinteractive,1
mnlagrasta,perlbuzz,1
mnlagrasta,kraih,1
mnlagrasta,TimToady,1
mnlagrasta,briandfoy_perl,1
mnlagrasta,PerlDancer,1
mnlagrasta,YAPCNA,1
mnlagrasta,PerlWeekly,1
mnlagrasta,joelaberger,1
mnlagrasta,PerlSawyer,1
keiosu,davorg,1
keiosu,petdance,1
keiosu,merlyn,1
keiosu,miyagawa,1
keiosu,genehack,1
keiosu,perigrin,1
keiosu,AndyArmstrong,1
keiosu,sartak,1
keiosu,schwern,1
keiosu,pjf,1
keiosu,sungo,1
keiosu,pdcawley,1
keiosu,brianwisti,1
keiosu,aaroncrane,1
keiosu,perlbuzz,1
keiosu,thaljef,1
keiosu,OvidPerl,1
keiosu,timbunce,1
keiosu,allisonrandal,1
keiosu,missbarbell,1
keiosu,chromatic_x,1
keiosu,Reini_Urban,1
keiosu,xdg,1
keiosu,szabgab,1
keiosu,olafalders,1
keiosu,shadowcat_mdk,1
keiosu,perlfoundation,1
keiosu,vmbrasseur,1
keiosu,TimToady,1
keiosu,maryloulenhart,1
keiosu,briandfoy_perl,1
keiosu,novapatch,1
keiosu,pghpw,1
keiosu,shadowcat_mst,1
keiosu,houseabsolute,1
keiosu,ribasushi,1
keiosu,mjdominus,1
keiosu,neilbowers,1
keiosu,tommystanton,1
keiosu,metacpan,1
keiosu,Ptolemarch,1
keiosu,YAPCNA,1
keiosu,yapceu,1
keiosu,stevanlittle,1
keiosu,PerlSawyer,1
OvidPerl,davorg,1
OvidPerl,petdance,1
OvidPerl,merlyn,1
OvidPerl,friedo,1
OvidPerl,theory,1
OvidPerl,miyagawa,1
OvidPerl,genehack,1
OvidPerl,ingydotnet,1
OvidPerl,perigrin,1
OvidPerl,trg404,1
OvidPerl,gnat,1
OvidPerl,AndyArmstrong,1
OvidPerl,perl_api,1
OvidPerl,scrottie,1
OvidPerl,spazm,1
OvidPerl,sartak,1
OvidPerl,schwern,1
OvidPerl,pjf,1
OvidPerl,sungo,1
OvidPerl,pdcawley,1
OvidPerl,brianwisti,1
OvidPerl,aaroncrane,1
OvidPerl,perlbuzz,1
OvidPerl,thaljef,1
OvidPerl,keiosu,1
OvidPerl,timbunce,1
OvidPerl,allisonrandal,1
OvidPerl,missbarbell,1
OvidPerl,sheeshee,1
OvidPerl,kraih,1
OvidPerl,frioux,1
OvidPerl,chromatic_x,1
OvidPerl,Reini_Urban,1
OvidPerl,perlbpbook,1
OvidPerl,perlcritic,1
OvidPerl,leon_timmermans,1
OvidPerl,xdg,1
OvidPerl,szabgab,1
OvidPerl,kiphampton,1
OvidPerl,preaction,1
OvidPerl,CSJewellPerl,1
OvidPerl,perljobs,1
OvidPerl,rabcyr,1
OvidPerl,olafalders,1
OvidPerl,dbix_class,1
OvidPerl,gizmomathboy,1
OvidPerl,shadowcat_mdk,1
